Objects,,,,,,,
100,,,,,,,
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3911,0,0.00716978,-0.0300833,-1.6078,3011.99,-2508.64,5.65997
3912,0,0.00770169,-0.0295748,-1.60804,3012.02,-2508.67,5.66621
3913,0,0.0071357,-0.0296855,-1.6087,3012.04,-2508.68,5.64751
3914,0,0.00679357,-0.0313358,-1.60859,3012.05,-2508.73,5.64076
3915,0,0.00729438,-0.0297807,-1.60843,3011.99,-2508.66,5.63616
3916,0,0.00738724,-0.0303154,-1.60862,3012.02,-2508.67,5.63291
3917,0,0.00754118,-0.0300719,-1.6084,3012.03,-2508.69,5.64708
3918,0,0.00699348,-0.0288505,-1.6092,3012.04,-2508.7,5.64758
3919,0,0.00713515,-0.0291407,-1.60822,3011.98,-2508.63,5.6656
3920,0,0.00712801,-0.0300633,-1.60837,3012,-2508.67,5.66278
3921,0,0.00709334,-0.0296828,-1.6081,3011.92,-2508.62,5.65281
3922,0,0.00710126,-0.0298964,-1.60792,3011.9,-2508.58,5.66711
3923,0,0.00629092,-0.0342487,-1.60734,3011.93,-2508.62,5.57903
3924,0,0.00696847,-0.0313872,-1.60704,3011.87,-2508.54,5.63572
3925,0,0.00709569,-0.0310008,-1.60767,3011.95,-2508.59,5.65472
3926,0,0.00714038,-0.024975,-1.60598,3011.77,-2508.49,5.71759
3927,0,0.00724812,-0.0258948,-1.60692,3011.83,-2508.52,5.71056
3928,0,0.00699809,-0.0277588,-1.60729,3011.86,-2508.57,5.66078
3929,0,0.00688864,-0.0286842,-1.60779,3011.94,-2508.63,5.63134
3930,0,0.00740268,-0.0276046,-1.60773,3011.93,-2508.59,5.66668
3931,0,0.00747226,-0.028428,-1.60821,3012,-2508.67,5.65486
3932,0,0.007226,-0.0286221,-1.60831,3012.02,-2508.7,5.66366
3933,0,0.00695517,-0.0293039,-1.60819,3012,-2508.68,5.67719
3934,0,0.00726217,-0.0282027,-1.60813,3012.03,-2508.67,5.67236
3935,0,0.00706069,-0.0280491,-1.6083,3012.02,-2508.67,5.66748
3936,0,0.00703249,-0.0294003,-1.60851,3012.03,-2508.69,5.6535
3937,0,0.00738001,-0.0287095,-1.60823,3012.02,-2508.68,5.66036
3938,0,0.00687943,-0.0294079,-1.60849,3012.03,-2508.7,5.65792
3939,0,0.00725702,-0.0299893,-1.60785,3012.01,-2508.67,5.65748
3940,0,0.00747048,-0.0287983,-1.60785,3011.93,-2508.58,5.67057
3941,0,0.00718334,-0.0281746,-1.60791,3011.89,-2508.55,5.67081
3942,0,0.00698096,-0.0297199,-1.60792,3011.95,-2508.6,5.64991
3943,0,0.00743419,-0.0293561,-1.60787,3011.94,-2508.58,5.68777
3944,0,0.00628958,-0.0331875,-1.60746,3011.99,-2508.64,5.58201
3945,0,0.00673779,-0.0316673,-1.60763,3012.01,-2508.66,5.62653
3946,0,0.00722416,-0.0300949,-1.60749,3011.96,-2508.61,5.65427
3947,0,0.0071272,-0.0299286,-1.60778,3012.01,-2508.67,5.63195
3948,0,0.00745504,-0.0288595,-1.6075,3011.95,-2508.58,5.65262
3949,0,0.00715849,-0.0292937,-1.60851,3011.99,-2508.64,5.65863
3950,0,0.00702365,-0.0285284,-1.60888,3011.99,-2508.68,5.64396
3951,0,0.00726391,-0.0284898,-1.60801,3011.97,-2508.61,5.6661
3952,0,0.00726584,-0.0284233,-1.60764,3011.9,-2508.57,5.68993
3953,0,0.00727051,-0.0289996,-1.6073,3011.87,-2508.57,5.6693
3954,0,0.00765731,-0.028484,-1.60735,3011.83,-2508.52,5.68611
3955,0,0.00714406,-0.0283461,-1.60801,3011.9,-2508.59,5.67777
