Objects
100
,,Global Angle Racer400:Racer400,,,,,,Global Angle Tello_FCF6BF:Tello_FCF6BF,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
5951,0,0.0178422,-0.031511,3.1112,-3112.98,6266.43,755.15,-0.0377294,0.0340862,1.53231,-1890.42,2489.19,257.196
5952,0,0.0177614,-0.0316495,3.11111,-3112.93,6266.45,755.22,-0.0366024,0.0330892,1.53257,-1890.29,2489.05,265.037
5953,0,0.0180714,-0.0313232,3.11131,-3113.06,6266.43,755.183,-0.0359684,0.0327747,1.53254,-1890.19,2488.9,272.858
5954,0,0.0184043,-0.0320007,3.11114,-3112.93,6266.44,755.243,-0.0351678,0.0325094,1.53253,-1890.17,2488.74,280.628
5955,0,0.0186745,-0.0317158,3.11114,-3112.98,6266.44,755.258,-0.0339146,0.0320061,1.53237,-1890.08,2488.61,288.463
5956,0,0.0179234,-0.0314372,3.11129,-3113.01,6266.42,755.154,-0.0327209,0.0314853,1.53251,-1890.07,2488.49,296.284
5957,0,0.0185773,-0.0320831,3.11118,-3112.91,6266.42,755.258,-0.0312397,0.0309218,1.53248,-1890.03,2488.44,304.124
5958,0,0.0183912,-0.0318017,3.11121,-3113.01,6266.45,755.183,-0.0306293,0.0311592,1.53252,-1890,2488.36,311.948
5959,0,0.0178438,-0.0319907,3.11101,-3112.88,6266.45,755.232,-0.0290571,0.0307731,1.53248,-1890.08,2488.29,319.701
5960,0,0.0182378,-0.031853,3.11137,-3113.1,6266.43,755.152,-0.0272939,0.0314887,1.53245,-1890.09,2488.21,327.494
5961,0,0.0178451,-0.0317143,3.11129,-3113.08,6266.45,755.126,-0.0252365,0.0308611,1.53249,-1890.14,2488.16,335.3
5962,0,0.0178251,-0.0319196,3.11115,-3112.99,6266.47,755.217,-0.0239064,0.0312366,1.53243,-1890.15,2488.12,343.045
5963,0,0.0180343,-0.0315794,3.11118,-3113.07,6266.44,755.206,-0.0218641,0.0312098,1.53247,-1890.23,2488.07,350.807
5964,0,0.0182338,-0.0315762,3.11116,-3112.9,6266.43,755.246,-0.0205111,0.0313737,1.53259,-1890.26,2488.09,358.503
5965,0,0.0184289,-0.031939,3.11127,-3112.96,6266.43,755.242,-0.0184708,0.0313321,1.53276,-1890.34,2488.07,366.192
5966,0,0.0183087,-0.0316041,3.1113,-3113.06,6266.42,755.203,-0.0172595,0.0315759,1.53275,-1890.43,2488.06,373.855
5967,0,0.0181832,-0.0319134,3.11108,-3113.05,6266.46,755.156,-0.0159746,0.0325696,1.53269,-1890.6,2488,381.407
5968,0,0.0184248,-0.0320388,3.11127,-3113.08,6266.47,755.206,-0.015305,0.0327788,1.5326,-1890.65,2487.96,388.959
